epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1366.36,1.2997,1.16483,1.37329,0.74555,0.59483,0.70099,0.43439,1.37028,1.21224,1.46921,0.0011882,0.0011882,0.0011882
43,1399.21,1.32674,1.2239,1.40083,0.65113,0.65967,0.67428,0.40748,1.37743,1.26652,1.45629,0.0011684,0.0011684,0.0011684
44,1431.65,1.31963,1.15913,1.38578,0.71025,0.68103,0.72815,0.45252,1.29374,1.13735,1.40283,0.0011486,0.0011486,0.0011486
45,1464.47,1.27708,1.16893,1.35863,0.76381,0.60632,0.7106,0.43771,1.34174,1.23227,1.42825,0.0011288,0.0011288,0.0011288
46,1495.65,1.27645,1.14287,1.35671,0.79245,0.57471,0.6881,0.40941,1.4095,1.28561,1.46858,0.001109,0.001109,0.001109
47,1528.12,1.26285,1.11109,1.35054,0.73516,0.64655,0.71591,0.43707,1.32206,1.20982,1.41889,0.0010892,0.0010892,0.0010892
48,1560.89,1.26181,1.11462,1.3401,0.73845,0.66954,0.71599,0.42984,1.37977,1.20047,1.45488,0.0010694,0.0010694,0.0010694
49,1594.15,1.26466,1.11616,1.35392,0.77702,0.56034,0.66527,0.41931,1.35493,1.27797,1.45133,0.0010496,0.0010496,0.0010496
50,1625.28,1.27179,1.12228,1.35607,0.73007,0.62953,0.70725,0.42708,1.35915,1.20356,1.42697,0.0010298,0.0010298,0.0010298
51,1657.95,1.24908,1.11759,1.33556,0.65681,0.68744,0.71383,0.43854,1.3188,1.16927,1.43227,0.00101,0.00101,0.00101
52,1690.61,1.28154,1.11323,1.36624,0.74378,0.64368,0.72004,0.45864,1.34308,1.10588,1.44071,0.0009902,0.0009902,0.0009902
53,1723.47,1.22545,1.06036,1.33351,0.76808,0.64943,0.73753,0.44709,1.34031,1.1106,1.44286,0.0009704,0.0009704,0.0009704
54,1754.88,1.21377,1.05474,1.30908,0.69309,0.68103,0.72396,0.44754,1.3201,1.12117,1.41327,0.0009506,0.0009506,0.0009506
55,1787.34,1.23817,1.03429,1.32747,0.79722,0.62133,0.72216,0.44736,1.30626,1.20667,1.42364,0.0009308,0.0009308,0.0009308
56,1819.47,1.20284,1.02661,1.30847,0.74543,0.63951,0.72894,0.47188,1.3002,1.12493,1.41933,0.000911,0.000911,0.000911
57,1851.99,1.21778,1.02538,1.31834,0.77775,0.6523,0.75976,0.4778,1.30613,1.07604,1.40166,0.0008912,0.0008912,0.0008912
58,1882.94,1.23684,1.06236,1.32441,0.69565,0.66994,0.713,0.43425,1.343,1.18969,1.43157,0.0008714,0.0008714,0.0008714
59,1915.67,1.18602,1.04115,1.29736,0.7971,0.65476,0.76458,0.48414,1.29226,1.10406,1.40445,0.0008516,0.0008516,0.0008516
60,1948.29,1.1659,1.01015,1.28877,0.77518,0.67374,0.75665,0.47634,1.26214,1.1011,1.35885,0.0008318,0.0008318,0.0008318
61,1980.29,1.17578,1.01972,1.2783,0.77439,0.67529,0.74383,0.45627,1.30064,1.11514,1.38374,0.000812,0.000812,0.000812
62,2011.56,1.19625,0.97378,1.28137,0.75375,0.66849,0.76163,0.47732,1.29296,1.05853,1.38555,0.0007922,0.0007922,0.0007922
63,2043.64,1.17781,0.97687,1.2935,0.76726,0.63471,0.73936,0.4715,1.30445,1.07696,1.38524,0.0007724,0.0007724,0.0007724
64,2076.39,1.14123,0.973,1.269,0.78109,0.66644,0.74598,0.46674,1.31072,1.12417,1.39363,0.0007526,0.0007526,0.0007526
65,2108.82,1.10644,0.9196,1.23954,0.80146,0.67529,0.75956,0.49586,1.26818,1.03939,1.38415,0.0007328,0.0007328,0.0007328
66,2140.59,1.11992,0.93553,1.24618,0.7922,0.65517,0.76748,0.4956,1.2851,1.01448,1.38351,0.000713,0.000713,0.000713
67,2172.22,1.1259,0.91681,1.26308,0.77532,0.67241,0.76666,0.49113,1.30119,1.03178,1.40335,0.0006932,0.0006932,0.0006932
68,2204.91,1.1287,0.9214,1.25785,0.72291,0.68103,0.75683,0.49473,1.2941,1.06074,1.40779,0.0006734,0.0006734,0.0006734
69,2237.29,1.1419,0.94151,1.27358,0.78816,0.65805,0.7401,0.48149,1.27848,1.07539,1.36912,0.0006536,0.0006536,0.0006536
70,2269.13,1.15203,0.92744,1.26152,0.7509,0.67567,0.7447,0.45226,1.35494,1.09017,1.43143,0.0006338,0.0006338,0.0006338
71,2300.17,1.10514,0.91367,1.25308,0.80076,0.65832,0.7742,0.50074,1.26334,1.00813,1.39521,0.000614,0.000614,0.000614
72,2332.91,1.09314,0.90005,1.23597,0.80581,0.67241,0.76874,0.48729,1.27323,1.04303,1.39893,0.0005942,0.0005942,0.0005942
73,2365.24,1.11035,0.89604,1.23735,0.76048,0.62644,0.72346,0.46983,1.28107,1.09287,1.40015,0.0005744,0.0005744,0.0005744
74,2397.17,1.08891,0.88811,1.23613,0.7638,0.67834,0.7561,0.47915,1.27333,1.05968,1.39511,0.0005546,0.0005546,0.0005546
75,2428.28,1.05367,0.84304,1.22482,0.79233,0.66379,0.76858,0.4932,1.28606,1.02574,1.40571,0.0005348,0.0005348,0.0005348
76,2460.87,1.07324,0.87851,1.22554,0.77666,0.67529,0.75275,0.48324,1.28739,1.03738,1.39214,0.000515,0.000515,0.000515
77,2493.97,1.06334,0.83466,1.20968,0.77235,0.66092,0.7534,0.48918,1.2654,1.0459,1.37572,0.0004952,0.0004952,0.0004952
78,2526.46,1.07896,0.8502,1.22978,0.74515,0.71418,0.76694,0.49907,1.28745,1.02242,1.4036,0.0004754,0.0004754,0.0004754
79,2557.8,1.04752,0.83337,1.21643,0.76087,0.65832,0.75898,0.48187,1.31181,1.06672,1.39251,0.0004556,0.0004556,0.0004556
80,2590.99,1.06846,0.86576,1.22278,0.73933,0.74425,0.79617,0.52111,1.23654,0.96374,1.34512,0.0004358,0.0004358,0.0004358
81,2624.09,1.03827,0.85058,1.21664,0.7897,0.65517,0.76662,0.49395,1.24916,1.00315,1.36909,0.000416,0.000416,0.000416
82,2656.31,1.07163,0.86636,1.24085,0.72644,0.72414,0.78394,0.51397,1.27068,0.97954,1.39131,0.0003962,0.0003962,0.0003962
83,2687.45,1.03801,0.79565,1.1843,0.76239,0.69828,0.78175,0.49505,1.30211,0.97994,1.40971,0.0003764,0.0003764,0.0003764
84,2719.71,1.04131,0.8201,1.19757,0.73887,0.72364,0.77329,0.49814,1.27627,0.99971,1.39376,0.0003566,0.0003566,0.0003566
85,2752.63,1.04961,0.80891,1.20422,0.74547,0.76437,0.79456,0.51393,1.2382,0.98528,1.35416,0.0003368,0.0003368,0.0003368
86,2785.26,1.02775,0.79029,1.2071,0.74202,0.72701,0.77841,0.49312,1.28045,0.99794,1.38775,0.000317,0.000317,0.000317
87,2816.2,1.02372,0.78789,1.19528,0.74621,0.71264,0.78638,0.51356,1.24028,0.9885,1.35644,0.0002972,0.0002972,0.0002972
88,2848.04,0.99718,0.76602,1.1766,0.74586,0.71839,0.78466,0.50719,1.25348,0.96422,1.35846,0.0002774,0.0002774,0.0002774
89,2880.54,0.99885,0.77138,1.18384,0.81096,0.68103,0.79152,0.50984,1.25279,0.97635,1.36404,0.0002576,0.0002576,0.0002576
90,2913.4,0.98223,0.7851,1.17866,0.82421,0.67241,0.77844,0.4993,1.24144,0.98077,1.35811,0.0002378,0.0002378,0.0002378
91,2943.88,0.93025,0.72551,1.12877,0.73542,0.74138,0.79012,0.51607,1.24741,0.94954,1.38623,0.000218,0.000218,0.000218
92,2975.43,0.88911,0.67287,1.09392,0.7905,0.71264,0.7893,0.51672,1.24001,0.97292,1.37387,0.0001982,0.0001982,0.0001982
93,3007.34,0.87402,0.65447,1.08562,0.78816,0.6954,0.77948,0.49613,1.26068,0.98412,1.38368,0.0001784,0.0001784,0.0001784
94,3039.18,0.86543,0.62637,1.0857,0.78667,0.69936,0.77194,0.50195,1.2542,0.9883,1.39064,0.0001586,0.0001586,0.0001586
95,3069.91,0.88158,0.64024,1.09585,0.7751,0.72701,0.78682,0.51821,1.24719,0.96129,1.39849,0.0001388,0.0001388,0.0001388
96,3101.45,0.8643,0.62566,1.08599,0.76665,0.73637,0.78819,0.51825,1.24105,0.9663,1.37724,0.000119,0.000119,0.000119
97,3133.68,0.83857,0.62115,1.06494,0.7527,0.73851,0.78978,0.51053,1.24352,0.96636,1.3765,9.92e-05,9.92e-05,9.92e-05
98,3165.67,0.84614,0.60848,1.0692,0.79533,0.71264,0.78891,0.51513,1.23887,0.96721,1.37791,7.94e-05,7.94e-05,7.94e-05
99,3196.07,0.8385,0.59001,1.06143,0.79276,0.71552,0.78518,0.5115,1.24654,0.95592,1.39349,5.96e-05,5.96e-05,5.96e-05
100,3228.3,0.83443,0.59807,1.06665,0.81099,0.70977,0.78531,0.51038,1.2489,0.96772,1.3913,3.98e-05,3.98e-05,3.98e-05
